M1:vgs (L=1.00e-07) X,M1:vgs (L=1.00e-07) Y,M1:vgs (L=2.00e-07) X,M1:vgs (L=2.00e-07) Y,M1:vgs (L=3.00e-07) X,M1:vgs (L=3.00e-07) Y,M1:vgs (L=4.00e-07) X,M1:vgs (L=4.00e-07) Y,M1:vgs (L=5.00e-07) X,M1:vgs (L=5.00e-07) Y,M1:vgs (L=6.00e-07) X,M1:vgs (L=6.00e-07) Y,M1:vgs (L=7.00e-07) X,M1:vgs (L=7.00e-07) Y,M1:vgs (L=8.00e-07) X,M1:vgs (L=8.00e-07) Y,M1:vgs (L=9.00e-07) X,M1:vgs (L=9.00e-07) Y,M1:vgs (L=1.00e-06) X,M1:vgs (L=1.00e-06) Y
0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423
0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424
0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426
0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427
0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428
0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429
0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431
0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001,0.4320000000000001
0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001,0.4330000000000001
0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001,0.4340000000000001
0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001,0.4350000000000001
0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001,0.4360000000000001
0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001,0.4370000000000001
0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001,0.4380000000000001
0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001,0.4390000000000001
0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001
0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001,0.4410000000000001
0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001,0.4420000000000001
0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001,0.4430000000000001
0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001,0.4440000000000001
0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001,0.4450000000000001
0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001,0.4460000000000001
0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001,0.4470000000000001
0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001,0.4480000000000001
0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001,0.4490000000000001
0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001,0.4500000000000001
0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001,0.4510000000000001
0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001,0.4520000000000001
0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001,0.4530000000000001
0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001,0.4540000000000001
0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001,0.4550000000000001
0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001,0.4560000000000001
0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001,0.4570000000000001
0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001,0.4580000000000001
0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001
0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001,0.4600000000000001
0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001,0.4610000000000001
0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001
0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001,0.4630000000000001
0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001,0.4640000000000001
0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001,0.4650000000000001
0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001,0.4660000000000001
0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001,0.4670000000000001
0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001,0.4680000000000001
0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001,0.4690000000000001
0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001
0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001,0.4710000000000001
0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001,0.4720000000000001
0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001,0.4730000000000001
0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001,0.4740000000000001
0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001,0.4750000000000001
0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001,0.4760000000000001
0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001,0.4770000000000001
0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001,0.4780000000000001
0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001,0.4790000000000001
0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4800000000000001
0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001,0.4810000000000001
0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001,0.4820000000000001
0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001,0.4830000000000001
0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001,0.4840000000000001
0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001,0.4850000000000001
0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001,0.4860000000000001
0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001,0.4870000000000001
0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001,0.4880000000000001
0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001,0.4890000000000001
0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001
